"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"All","0.1",1.1,185911.115682612,184025.702664851
"JP","0.1",1.1,48710.2010437433,49403.1224260923
"TA","0.1",1.1,35228.3938519662,35138.4975738504
"BS","0.1",1.1,66688.6340364371,66848.5015517077
"Other","0.1",1.1,26476.8665011716,26268.8655464124
"All","0.1",1.2,185885.272591099,184002.319598179
"JP","0.1",1.2,48663.6079427511,49402.1414095846
"TA","0.1",1.2,35239.4353403152,35138.4203795786
"BS","0.1",1.2,66650.7024711251,66844.5477406431
"Other","0.1",1.2,26472.292516314,26252.9195699763
"All","0.1",1.3,185852.570107501,183988.223964336
"JP","0.1",1.3,48617.5295235401,49401.1518593151
"TA","0.1",1.3,35250.0877859995,35139.4880436394
"BS","0.1",1.3,66618.0586157282,66848.7858975593
"Other","0.1",1.3,26468.0450310354,26238.6193528742
"All","0.1",1.4,185812.547684911,183984.198955266
"JP","0.1",1.4,48574.12576931,49400.2164514205
"TA","0.1",1.4,35259.9831000715,35141.6842633015
"BS","0.1",1.4,66591.9544811602,66860.208579382
"Other","0.1",1.4,26464.1559841968,26226.5739933558
"All","0.1",1.5,185765.193425566,183990.638234803
"JP","0.1",1.5,48535.417719645,49399.3978641491
"TA","0.1",1.5,35268.8429995126,35144.9494224453
"BS","0.1",1.5,66572.9252985746,66877.3075801953
"Other","0.1",1.5,26460.6497752272,26217.2819127936
"All","0.1",1.6,185711.008859762,184007.491360276
"JP","0.1",1.6,48502.932591086,49398.7541301058
"TA","0.1",1.6,35276.5109125235,35149.1824344781
"BS","0.1",1.6,66560.7825634096,66898.3806229231
"Other","0.1",1.6,26457.5406195361,26211.0689759558
"All","0.1",1.7,185650.983434098,184034.261848938
"JP","0.1",1.7,48477.4831651299,49398.3344066416
"TA","0.1",1.7,35282.9525669255,35154.2469268946
"BS","0.1",1.7,66554.7692399965,66921.800844442
"Other","0.1",1.7,26454.8312922676,26208.0550559524
"All","0.1",1.8,185586.479964168,184070.057651479
"JP","0.1",1.8,48459.1415857977,49398.1756280638
"TA","0.1",1.8,35288.2316244953,35159.9813280872
"BS","0.1",1.8,66553.797386644,66946.1912924231
"Other","0.1",1.8,26452.5135791929,26208.1556931208
"All","0.1",1.9,185519.061479821,184113.682650513
"JP","0.1",1.9,48447.3783478338,49398.3003814285
"TA","0.1",1.9,35292.4741921055,35166.2113571263
"BS","0.1",1.9,66556.6814309966,66970.4976735557
"Other","0.1",1.9,26450.5699605982,26211.1148230708
"All","0.1",2,185450.305824511,184163.750803482
"JP","0.1",2,48441.2829142178,49398.7161746957
"TA","0.1",2,35295.8348694919,35172.7627722151
"BS","0.1",2,66562.3113795721,66993.9847586557
"Other","0.1",2,26448.9759107664,26216.5568102439
"All","0.2",0,185502.976981664,182951.836141092
"JP","0.2",0,48137.0642337221,49296.5184125067
"TA","0.2",0,34523.0103480728,34978.5770049065
"BS","0.2",0,64738.9196853992,66365.7044669665
"Other","0.2",0,26268.7254310185,25919.3924571204
"All","0.2",0.1,185475.662474501,182850.303521564
"JP","0.2",0.1,48113.2103694564,49296.7477250421
"TA","0.2",0.1,34527.4852557228,34962.0325168263
"BS","0.2",0.1,64686.4604066751,66273.7607364174
"Other","0.2",0.1,26254.331600433,25901.588009688
"All","0.2",0.2,185444.903532687,182749.673558743
"JP","0.2",0.2,48086.6177119936,49297.0551995899
"TA","0.2",0.2,34534.266831849,34945.7579542454
"BS","0.2",0.2,64633.0749406866,66176.1948179441
"Other","0.2",0.2,26239.4855667286,25882.2708327307
"All","0.2",0.3,185410.173927477,182650.919156188
"JP","0.2",0.3,48056.8857411137,49297.3559274842
"TA","0.2",0.3,34543.823540069,34930.1154465102
"BS","0.2",0.3,64579.0093985875,66074.3664705015
"Other","0.2",0.3,26224.4134331747,25861.4200020405
"All","0.2",0.4,185370.88293635,182555.194855468
"JP","0.2",0.4,48023.6078031945,49297.5755759196
"TA","0.2",0.4,34556.7015530246,34915.4930787059
"BS","0.2",0.4,64524.853667993,65970.4363384887
"Other","0.2",0.4,26209.4055195538,25839.1036695009
"All","0.2",0.5,185326.382746381,182463.849525943
"JP","0.2",0.5,47986.4197247171,49297.6567575571
"TA","0.2",0.5,34573.5048019482,34902.2860506122
"BS","0.2",0.5,64471.7189028124,65867.5068321417
"Other","0.2",0.5,26194.8078226865,25815.4993792747
"All","0.2",0.6,185275.990176937,182378.431882298
"JP","0.2",0.6,47945.0829475518,49297.5638614293
"TA","0.2",0.6,34594.8549464792,34890.8767565916
"BS","0.2",0.6,64421.4291267364,65769.6735215347
"Other","0.2",0.6,26181.0060105238,25790.9153752664
"All","0.2",0.7,185219.030432189,182300.685114356
"JP","0.2",0.7,47899.6097940126,49297.2863963514
"TA","0.2",0.7,34621.3267773331,34881.6161320427
"BS","0.2",0.7,64376.6788922031,65681.9095954333
"Other","0.2",0.7,26168.4022443266,25765.8116535101
"All","0.2",0.8,185154.910169404,182232.523745388
"JP","0.2",0.8,47850.4289669693,49296.8410593984
"TA","0.2",0.8,34653.3544139402,34874.8077638349
"BS","0.2",0.8,64341.0763734493,65609.7059215055
"Other","0.2",0.8,26157.3867871374,25740.8170597881
"All","0.2",0.9,185083.223806887,182175.982877205
"JP","0.2",0.9,47798.5719395356,49296.2725466777
"TA","0.2",0.9,34691.1073177876,34870.6950272754
"BS","0.2",0.9,64318.968030048,65558.4301812299
"Other","0.2",0.9,26148.3082529413,25716.7356151746
"All","0.2",1,185003.88924402,182133.129874223
"JP","0.2",1,47745.834344017,49295.6526683464
"TA","0.2",1,34734.3484468838,34869.4505905621
"BS","0.2",1,64314.9563171049,65532.4652090098
"Other","0.2",1,26141.4469015597,25694.5323608615
"All","0.2",1.1,184917.295884723,182105.933845721
"JP","0.2",1.1,47694.833321729,49295.0770173689
"TA","0.2",1.1,34782.3114087562,34871.167512226
"BS","0.2",1.1,64333.1077269192,65534.3197098509
"Other","0.2",1.1,26136.9939634859,25675.2883357755
"All","0.2",1.2,184824.430879884,182096.099469589
"JP","0.2",1.2,47648.8620417412,49294.6586826952
"TA","0.2",1.2,34833.6575958589,34875.8518218539
"BS","0.2",1.2,64376.0051217516,65564.0023263978
"Other","0.2",1.2,26135.0379697762,25660.1184928668
"All","0.2",1.3,184726.936415041,182104.885572829
"JP","0.2",1.3,47611.4768754968,49294.5192409737
"TA","0.2",1.3,34886.5722299076,34883.417423207
"BS","0.2",1.3,64443.9541803781,65618.9195876778
"Other","0.2",1.3,26135.5583588629,25650.0567476291
"All","0.2",1.4,184627.053285017,182132.939663215
"JP","0.2",1.4,47585.8641480207,49294.7780342815
"TA","0.2",1.4,34939.0101861495,34893.6848387913
"BS","0.2",1.4,64534.6815895847,65694.3714525388
"Other","0.2",1.4,26138.4274060389,25645.9263267162
"All","0.2",1.5,184527.431666332,182180.182236688
"JP","0.2",1.5,47574.174808632,49295.5411817693
"TA","0.2",1.5,34989.0257729472,34906.3855217059
"BS","0.2",1.5,64643.6892919143,65784.4706510446
"Other","0.2",1.5,26143.4220579355,25648.2244130601
"All","0.2",1.6,184430.833846371,182245.767332347
"JP","0.2",1.6,47577.0801664538,49296.8918445769
"TA","0.2",1.6,35035.0703676665,34921.173181044
"BS","0.2",1.6,64765.138462987,65883.1606791768
"Other","0.2",1.6,26150.2458833552,25657.0509041224
"All","0.2",1.7,184339.796430403,182328.13031185
"JP","0.2",1.7,47593.7190682862,49298.8830385033
"TA","0.2",1.7,35076.1604647254,34937.6426062864
"BS","0.2",1.7,64892.9204772825,65985.0330990127
"Other","0.2",1.7,26158.5583152271,25672.1000134045
"All","0.2",1.8,184256.338116557,182425.115062719
"JP","0.2",1.8,47622.0233099967,49301.5338283159
"TA","0.2",1.8,35111.8896124694,34955.3547439554
"BS","0.2",1.8,65021.559292301,66085.7950993409
"Other","0.2",1.8,26168.0057550813,25692.715049775
"All","0.2",1.9,184181.782387724,182534.156889904
"JP","0.2",1.9,47659.2517232092,49304.8291461917
"TA","0.2",1.9,35142.3249235739,34973.8648484695
"BS","0.2",1.9,65146.7459201631,66182.3983887021
"Other","0.2",1.9,26178.248857589,25717.9892319154
"All","0.2",2,184116.721646844,182652.48889154
"JP","0.2",2,47702.5249852735,49308.72290205
"TA","0.2",2,35167.8545852831,34992.7494164187
"BS","0.2",2,65265.4958980741,66272.9328049725
"Other","0.2",2,26188.9823626231,25746.8858781361
"All","0.3",0,184025.97167264,180912.588251871
"JP","0.3",0,46941.485855191,49136.8747702627
"TA","0.3",0,33631.1066125634,34677.6867410415
"BS","0.3",0,61272.8034939078,65154.9503219204
"Other","0.3",0,25873.1828057964,25229.3706517834
"All","0.3",0.1,183946.620634914,180761.483330169
"JP","0.3",0.1,46907.0981489315,49136.1415555744
"TA","0.3",0.1,33633.7436699691,34647.738131778
"BS","0.3",0.1,61191.9977727748,64980.4536539856
"Other","0.3",0.1,25845.3036585036,25203.7939531653
"All","0.3",0.2,183860.356169795,180614.441202877
"JP","0.3",0.2,46869.3198297171,49135.7770881501
"TA","0.3",0.2,33640.1819747897,34618.7917272268
"BS","0.3",0.2,61113.6129885278,64798.2380479937
"Other","0.3",0.2,25816.9264229656,25176.6372775932
"All","0.3",0.3,183766.571606635,180473.076066577
"JP","0.3",0.3,46827.7726550158,49135.6536594915
"TA","0.3",0.3,33651.3048990052,34591.5356526351
"BS","0.3",0.3,61038.8437385377,64611.4384047647
"Other","0.3",0.3,25788.5460633292,25147.9700015596
"All","0.3",0.4,183664.707492752,180339.221748331
"JP","0.3",0.4,46782.1398790112,49135.6568615342
"TA","0.3",0.4,33668.1846265745,34566.6820003402
"BS","0.3",0.4,60969.5870973005,64424.5938116646
"Other","0.3",0.4,25760.7886960684,25118.0095125654
"All","0.3",0.5,183554.305848153,180214.939905606
"JP","0.3",0.5,46732.2559667366,49135.6977472173
"TA","0.3",0.5,33692.0729152328,34544.9291137942
"BS","0.3",0.5,60908.7226476481,64243.8018356755
"Other","0.3",0.5,25734.3951707145,25087.1479645279
"All","0.3",0.6,183435.096781196,180102.517609185
"JP","0.3",0.6,46678.2461938268,49135.7225813207
"TA","0.3",0.6,33724.3620538345,34526.9241202304
"BS","0.3",0.6,60860.3959102882,64076.6987869575
"Other","0.3",0.6,25710.1897656788,25055.9773373127
"All","0.3",0.7,183307.127374262,180004.448986157
"JP","0.3",0.7,46620.7217528905,49135.7197224104
"TA","0.3",0.7,33766.5030627105,34513.230304495
"BS","0.3",0.7,60830.218451706,63932.1568639137
"Other","0.3",0.7,25689.0339444113,25025.3102996792
"All","0.3",0.8,183170.934661233,179923.391744501
"JP","0.3",0.8,46561.0184680216,49135.7235287307
"TA","0.3",0.8,33819.861816999,34504.3021447161
"BS","0.3",0.8,60825.2433847582,63819.6004299396
"Other","0.3",0.8,25671.7674318352,24996.1911030669
"All","0.3",0.9,183027.749582757,179862.086177897
"JP","0.3",0.9,46501.4381752658,49135.8150768546
"TA","0.3",0.9,33885.492085505,34500.4683477169
"BS","0.3",0.9,60853.5386223046,63747.9114950267
"Other","0.3",0.9,25659.1422777193,24969.8870005876
"All","0.3",1,182879.69696226,179823.225083374
"JP","0.3",1,46445.411770773,49136.1190329419
"TA","0.3",1,33963.8219197817,34501.9212073074
"BS","0.3",1,60923.2122990948,63724.0356163579
"Other","0.3",1,25651.7579185858,24947.8479530922
"All","0.3",1.1,182729.930585605,179809.27100136
"JP","0.3",1.1,46397.4598730453,49136.7957820432
"TA","0.3",1.1,34054.2992301823,34508.7099681885
"BS","0.3",1.1,61040.9000549411,63751.5867055465
"Other","0.3",1.1,25650.0051353207,24931.6232954652
"All","0.3",1.2,182582.622895859,179822.232377208
"JP","0.3",1.2,46362.815356303,49138.0284623658
"TA","0.3",1.2,34155.1144688219,34520.7367386149
"BS","0.3",1.2,61210.004763312,63829.8863177624
"Other","0.3",1.2,25654.0253143547,24922.7314862748
"All","0.3",1.3,182442.734950741,179863.427907244
"JP","0.3",1.3,46346.6499697749,49140.0057635466
"TA","0.3",1.3,34263.1642059235,34537.7551646637
"BS","0.3",1.3,61429.2634502973,63953.8310797821
"Other","0.3",1.3,25663.6904574545,24922.4936154745
"All","0.3",1.4,182315.541124965,179933.280819386
"JP","0.3",1.4,46353.0340868969,49142.9025475631
"TA","0.3",1.4,34374.3712043747,34559.3736012004
"BS","0.3",1.4,61692.2760611726,64114.7132744069
"Other","0.3",1.4,25678.6089194287,24931.858600393
"All","0.3",1.5,182205.969750007,180031.186179258
"JP","0.3",1.5,46383.9633480535,49146.8610190017
"TA","0.3",1.5,34484.3197681526,34585.0653503495
"BS","0.3",1.5,61988.3191921363,64301.7470232673
"Other","0.3",1.5,25698.1597602733,24951.2593414003
"All","0.3",1.6,182117.9093748,180155.483087345
"JP","0.3",1.6,46438.8434406841,49151.9752109496
"TA","0.3",1.6,34588.9924612166,34614.1884836667
"BS","0.3",1.6,62304.2143825676,64503.80028722
"Other","0.3",1.6,25721.5532649863,24980.5369897213
"All","0.3",1.7,182053.669428122,180303.54285725
"JP","0.3",1.7,46514.6480012864,49158.2810057335
"TA","0.3",1.7,34685.342023446,34646.0164701319
"BS","0.3",1.7,62626.576437272,64710.8394730024
"Other","0.3",1.7,25747.9080549753,25018.9539499627
"All","0.3",1.8,182013.743220076,180471.960202769
"JP","0.3",1.8,46606.6560373711,49165.7528847066
"TA","0.3",1.8,34771.5394415673,34679.7781807468
"BS","0.3",1.8,62943.7073102978,64914.8077996266
"Other","0.3",1.8,25776.3303712329,25065.2918013044
"All","0.3",1.9,181996.916783502,180656.81456302
"JP","0.3",1.9,46709.4443456319,49174.3073724551
"TA","0.3",1.9,34846.908592297,34714.7027148192
"BS","0.3",1.9,63246.6983468797,65109.917336063
"Other","0.3",1.9,25805.9816877619,25118.0081803622
"All","0.3",2,182000.653284183,180853.958463009
"JP","0.3",2,46817.7859134613,49183.8120533166
"TA","0.3",2,34911.668756649,34750.0624897591
"BS","0.3",2,63529.704452378,65292.5054294228
"Other","0.3",2,25836.1261441458,25175.4152560334
"All","0.4",0,181624.476980427,178607.43662963
"JP","0.4",0,45599.7183728988,48927.0178447056
"TA","0.4",0,32677.6413843173,34308.0179818728
"BS","0.4",0,57773.6689769286,63692.6054442276
"Other","0.4",0,25386.2374311141,24461.6998291845
"All","0.4",0.1,181473.990228915,178411.862375913
"JP","0.4",0.1,45555.8027651933,48924.6401857656
"TA","0.4",0.1,32676.45631119,34263.6309761593
"BS","0.4",0.1,57672.1768059205,63435.8674160062
"Other","0.4",0.1,25343.4641302524,24430.7297016947
"All","0.4",0.2,181313.281165887,178224.383976062
"JP","0.4",0.2,45507.9789101291,48923.1019350996
"TA","0.4",0.2,32679.8848957474,34221.3258087412
"BS","0.4",0.2,57574.8502166847,63171.6206269563
"Other","0.4",0.2,25300.2529300752,24398.3530967764
"All","0.4",0.3,181141.970075801,178047.147423594
"JP","0.4",0.3,45455.9144619349,48922.2403215799
"TA","0.4",0.3,32689.0966175424,34182.1221109895
"BS","0.4",0.3,57483.4685082366,62904.8597475432
"Other","0.4",0.3,25257.3853574239,24364.7287493506
"All","0.4",0.4,180959.933713126,177882.518032987
"JP","0.4",0.4,45399.4060284355,48921.9040684598
"TA","0.4",0.4,32705.5501119865,34147.0436495779
"BS","0.4",0.4,57400.7604090582,62642.3662564709
"Other","0.4",0.4,25215.8401238645,24330.2066111775
"All","0.4",0.5,180767.417044085,177733.086369961
"JP","0.4",0.5,45338.5060334512,48921.971820986
"TA","0.4",0.5,32731.0085408524,34117.0630874751
"BS","0.4",0.5,57330.7629980515,62392.809284653
"Other","0.4",0.5,25176.768906402,24295.3571905264
"All","0.4",0.6,180565.193575659,177601.663428968
"JP","0.4",0.6,45273.7124360007,48922.3677575488
"TA","0.4",0.6,32767.5261526852,34093.050603752
"BS","0.4",0.6,57279.1972074727,62166.622457579
"Other","0.4",0.6,25141.451076163,24260.9970516249
"All","0.4",0.7,180354.78351602,177491.258199095
"JP","0.4",0.7,45206.2251695582,48923.0731625262
"TA","0.4",0.7,32817.387738369,34075.7326433533
"BS","0.4",0.7,57253.7591111344,61975.5477913935
"Other","0.4",0.7,25111.2270320228,24228.207382355
"All","0.4",0.8,180138.719950097,177405.026057708
"JP","0.4",0.8,45138.249204755,48924.1332480026
"TA","0.4",0.8,32882.9688269177,34065.6640558083
"BS","0.4",0.8,57264.1538042666,61831.7548936566
"Other","0.4",0.8,25087.4120728754,24198.3388067845
"All","0.4",0.9,179920.823970619,177346.172813183
"JP","0.4",0.9,45073.2857954466,48925.6585490987
"TA","0.4",0.9,32966.4721283174,34063.2130673933
"BS","0.4",0.9,57321.6401339822,61746.5147783101
"Other","0.4",0.9,25071.1970305432,24172.9916052013
"All","0.4",1,179706.413190782,177317.800691427
"JP","0.4",1,45016.302239279,48927.8198857076
"TA","0.4",1,33069.5048426358,34068.5555272209
"BS","0.4",1,57437.8685862002,61728.5508850708
"Other","0.4",1,25063.545819335,24153.9579976773
"All","0.4",1.1,179502.332853234,177322.692533575
"JP","0.4",1.1,44973.6181330381,48930.8358558948
"TA","0.4",1.1,33192.5171966147,34081.6739013958
"BS","0.4",1.1,57622.9553320208,61782.3845816603
"Other","0.4",1.1,25065.1016409953,24143.1150463491
"All","0.4",1.2,179316.685627285,177363.048640616
"JP","0.4",1.2,44952.3378369247,48934.9527645531
"TA","0.4",1.2,33334.2304929812,34102.3577805761
"BS","0.4",1.2,57883.0722321503,61907.1483709468
"Other","0.4",1.2,25076.1134423954,24142.2658264887
"All","0.4",1.3,179158.175740934,177440.211184024
"JP","0.4",1.3,44959.2677621735,48940.4186071809
"TA","0.4",1.3,33491.2945502553,34130.2053283591
"BS","0.4",1.3,58218.2342975531,62096.3229966616
"Other","0.4",1.3,25096.3939470318,24152.9427909697
"All","0.4",1.4,179035.092891408,177554.425027388
"JP","0.4",1.4,44999.503418169,48947.4543476577
"TA","0.4",1.4,33658.4264411133,34164.6277861083
"BS","0.4",1.4,58621.1622834556,62338.5943084815
"Other","0.4",1.4,25125.3197257645,24176.2055738176
"All","0.4",1.5,178954.115423788,177704.684757408
"JP","0.4",1.5,45075.1355665928,48956.2266172703
"TA","0.4",1.5,33829.1170161235,34204.8609656928
"BS","0.4",1.5,59077.8400471412,62619.6205692446
"Other","0.4",1.5,25161.8796611019,24212.4768762076
"All","0.4",1.6,178919.236206527,177888.70463117
"JP","0.4",1.6,45184.5962335103,48966.8259728896
"TA","0.4",1.6,33996.7114876718,34249.9881399373
"BS","0.4",1.6,59569.7170623342,62924.1784228588
"Other","0.4",1.6,25204.7689657903,24261.4572079234
"All","0.4",1.7,178931.126044864,178103.02458565
"JP","0.4",1.7,45322.9313465838,48979.2539709503
"TA","0.4",1.7,34155.4734959455,34298.9772928488
"BS","0.4",1.7,60076.8109393887,63238.0936691087
"Other","0.4",1.7,25252.5139992364,24322.1414608065
"All","0.4",1.8,178987.120701354,178343.238197155
"JP","0.4",1.8,45482.8735071652,48993.4206808399
"TA","0.4",1.8,34301.2801768735,34350.7320925465
"BS","0.4",1.8,60580.6767979639,63549.5545254851
"Other","0.4",1.8,25303.6046385955,24392.9340409943
"All","0.4",1.9,179081.806437197,178604.305543841
"JP","0.4",1.9,45656.2694130149,49009.1523321895
"TA","0.4",1.9,34431.8183693068,34404.1513486234
"BS","0.4",1.9,61066.4517236112,63849.6972271925
"Other","0.4",1.9,25356.6108599451,24471.8347593275
"All","0.4",2,179207.992997612,178880.901438347
"JP","0.4",2,45835.3721182933,49026.20712761
"TA","0.4",2,34546.3774873598,34458.188338572
