"Model","Formula","AIC","deltaAIC","MarR2","ConR2","Species"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",30560.2533670718,-6.63505908929801,0.664158582392746,0.927498239992421,"JP"
"ReducedModel","logY~Yearctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",30643.8152143798,76.9267882187414,0.619338782077288,0.902121264052995,"JP"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd",30629.4196555015,62.5312293403695,0.655833303491476,0.917609985420205,"JP"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logDBHctd:logHctd:Dominancectd",30819.7438777878,252.855451626659,0.651162480698772,0.939876636252782,"JP"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",30888.6610184849,321.772592323789,0.603859887844003,0.95564526852915,"JP"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",31079.5386568916,512.650230730549,0.646085320429458,0.916722313682872,"JP"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",30561.1493648238,-5.73906133732817,0.663461482275774,0.92642659215266,"JP"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",30670.2037787745,103.315352613383,0.63125648141828,0.947089697281559,"JP"
"ReducedModel","logY~logDBHctd+logHctd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",30671.7557235553,104.867297394245,0.630502207114402,0.956660832087761,"JP"
"ReducedModel","logY~logDBHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",31137.8470703534,570.958644192302,0.615480815170281,0.927331295913184,"JP"
"ReducedModel","logY~logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",30633.9374425959,67.0490164347721,0.622803728382855,0.902335396485771,"JP"
"ExpandedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+Yearctd",30560.8633533469,-6.02507281422731,0.684648838953074,0.931845370646204,"JP"
"ExpandedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd",30571.1080235321,4.21959737103316,0.664170461824389,0.927766568967386,"JP"
"ExpandedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+logDBHctd:Yearctd:logHctd",30567.3277390947,0.43931293359492,0.664189052869842,0.927672891298477,"JP"
"ExpandedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+logDBHctd:Yearctd:Dominancectd",30571.0626472237,4.17422106259619,0.662417755372432,0.92779608205765,"JP"
"ExpandedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",30563.9798374243,-2.90858873678371,0.666018650419479,0.925935502263262,"JP"
"Full","FULL",21447.8714855783,34.2441833037446,0.725472365200619,0.909011818450947,"TA"
"BaseModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21413.6273022745,0,0.727880678578538,0.909547145294153,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd",21409.7364552858,-3.89084698869556,0.727410418496946,0.909099979941382,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+Yearctd:logHctd:Dominancectd",21502.676866511,89.0495642364986,0.709918049312608,0.904094850890982,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21411.6207410537,-2.00656122081273,0.726908837770091,0.908962641446152,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21479.8651749601,66.2378726855241,0.726513523154227,0.910162455854403,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21544.0232591284,130.395956853812,0.720734543118111,0.906479579271107,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21442.6787089317,29.0514066571632,0.725942638169527,0.907832729628226,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21709.8532931316,296.2259908571,0.746685604079484,0.935498631441828,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21581.9118946069,168.284592332333,0.701956860446526,0.899050932082912,"TA"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21423.2606596337,9.63335735918372,0.712073935324896,0.908753927164641,"TA"
