"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"Other","1",0.4,19188.8862575724,18886.9764951046
"All","1",0.6,133969.23413372,152298.966886647
"JP","1",0.6,35008.0238460826,43020.4836061473
"TA","1",0.6,23952.6790730435,28509.7236877382
"BS","1",0.6,44326.5808291435,48712.3722801601
"Other","1",0.6,19156.4322350914,18922.9764256235
"All","1",0.8,133493.23858008,152841.702601018
"JP","1",0.8,34846.3619779215,43284.9331327211
"TA","1",0.8,23964.4056680944,28669.0194330383
"BS","1",0.8,44166.4033117809,48950.9407954954
"Other","1",0.8,19153.4303750775,18982.6539999829
"All","1",1,133163.652093569,153496.235503991
"JP","1",1,34679.3907735072,43586.0419983782
"TA","1",1,24032.2116732349,28862.4911059661
"BS","1",1,44011.6045596196,49291.0249000424
"Other","1",1,19185.1961388987,19068.5847663584
"All","1",1.2,133058.673291319,154266.215713987
"JP","1",1.2,34534.6867216981,43915.7191614998
"TA","1",1.2,24190.7779221399,29091.3423253996
"BS","1",1.2,43893.4805711949,49737.8245432256
"Other","1",1.2,19256.8276767291,19183.1615087704
"All","1",1.4,133275.43686112,155154.780634654
"JP","1",1.4,34459.8315279893,44266.1392948088
"TA","1",1.4,24482.5966141133,29355.0781861967
"BS","1",1.4,43858.8904831347,50295.3417095348
"Other","1",1.4,19373.0537641722,19328.3689690968
"All","1",1.6,133909.010716865,156160.849645745
"JP","1",1.6,34514.5328467248,44629.4790671454
"TA","1",1.6,24943.2061100348,29651.1203334537
"BS","1",1.6,43961.9342506898,50961.8285001907
"Other","1",1.6,19537.2504362636,19505.1352361535
"All","1",1.8,135018.663358283,157275.927436085
"JP","1",1.8,34749.6422987913,44997.8001330172
"TA","1",1.8,25580.2623239492,29974.5883419882
"BS","1",1.8,44248.2595923082,51726.4326405749
"Other","1",1.8,19749.7458471696,19712.615434498
"All","1",2,136600.211753509,158482.826137714
"JP","1",2,35184.2072817619,45363.3058716841
"TA","1",2,26362.2795974101,30318.3969748057
"BS","1",2,44739.080788123,52568.6196485611
"Other","1",2,20006.489782691,19947.8026558096
"All","1.5",0,133718.672226706,149552.429388036
"JP","1.5",0,35402.0877896712,42076.707679604
"TA","1.5",0,24145.892040813,27941.1602242994
