"Species","sizeWeight","disWeight","HAIC","IntraHAIC","InterHAIC"
"Other species","0.2",0.1,19896.970334799,22197.7800902588,21741.8274862346
"All species","0.2",0.2,151039.556857878,161545.960972627,168883.952539253
"Jack pine","0.2",0.2,39959.8808269444,40801.2806554258,45781.7271402313
"Trembling aspen","0.2",0.2,28929.5950960989,32444.1963513376,34494.5361047393
"Black spruce","0.2",0.2,58841.9067785312,60977.3941699369,64624.6453224407
"Other species","0.2",0.2,19885.9251207453,22162.0496967538,21705.9638428007
"All species","0.2",0.3,150975.132009128,161304.711000082,168755.168636383
"Jack pine","0.2",0.3,39927.6380194913,40765.6846782921,45782.4443562429
"Trembling aspen","0.2",0.3,28903.6255054734,32397.7450665268,34459.3844989788
"Black spruce","0.2",0.3,58820.8576302931,60896.4343367868,64566.9981210714
"Other species","0.2",0.3,19875.4313108523,22127.0334819432,21670.6398739444
"All species","0.2",0.4,150909.731998873,161059.535232047,168630.080092298
"Jack pine","0.2",0.4,39892.6708730989,40727.5154774092,45783.4155559763
"Trembling aspen","0.2",0.4,28878.1694544472,32350.7080079549,34424.2176959957
"Black spruce","0.2",0.4,58798.9491718849,60814.1390403034,64510.7449168371
"Other species","0.2",0.4,19865.9355892978,22093.3976771691,21636.2698167533
"All species","0.2",0.5,150844.513482447,160812.616289374,168509.608775022
"Jack pine","0.2",0.5,39855.0470617763,40686.8040502371,45784.6364291646
"Trembling aspen","0.2",0.5,28854.1529046808,32303.5457133975,34389.3294529348
"Black spruce","0.2",0.5,58776.3189433271,60731.1806201041,64456.1663554714
"Other species","0.2",0.5,19858.0104839824,22061.9429472847,21603.3326530708
"All species","0.2",0.6,150781.244435345,160566.998661057,168394.838418565
"Jack pine","0.2",0.6,39815.0718284495,40643.7987622528,45786.1055429531
"Trembling aspen","0.2",0.6,28832.9661596457,32256.9700997978,34355.0837902882
"Black spruce","0.2",0.6,58753.2489121157,60648.5915653214,64403.6209030339
"Other species","0.2",0.6,19852.3782638796,22033.5882804416,21572.3691253895
"All species","0.2",0.7,150722.55199722,160326.83470459,168287.020355319
"Jack pine","0.2",0.7,39773.4156680577,40599.0775294241,45787.8255173925
"Trembling aspen","0.2",0.7,28816.6341575253,32212.0314087463,34321.9174744248
"Black spruce","0.2",0.7,58730.2379579501,60567.9117193044,64353.5580919487
"Other species","0.2",0.7,19849.9353864846,22009.3451796982,21543.9786204782
"All species","0.2",0.8,150672.234866374,160097.682474014,168187.574487616
"Jack pine","0.2",0.8,39731.2781888647,40553.6868064045,45789.8046746068
"Trembling aspen","0.2",0.8,28808.0148046443,32170.2243628643,34290.3389888079
"Black spruce","0.2",0.8,58708.0958860449,60491.3608806394,64306.5283600992
"Other species","0.2",0.8,19851.7737195759,21990.2817015319,21518.8156093059
"All species","0.2",0.9,150635.616924647,159886.813169576,168098.08256822
"Jack pine","0.2",0.9,39690.5744980349,40509.2945840047,45792.0589894463
"Trembling aspen","0.2",0.9,28810.9976743954,32133.6034967057,34260.9236358627
"Black spruce","0.2",0.9,58688.0548527887,60422.0100046144,64263.1867149292
"Other species","0.2",0.9,19859.1906298335,21977.4753855666,21497.5842741897
"All species","0.2",1,150619.87526774,159703.44235772,168020.26958624
"Jack pine","0.2",1,39654.1067822986,40468.3270728385,45794.6140286061
"Trembling aspen","0.2",1,28830.6395223864,32104.8783885736,34234.304457531
"Black spruce","0.2",1,58671.8840002847,60363.9063473157,64224.2872414707
"Other species","0.2",1,19873.6744737765,21971.9546086789,21481.0288352312
"All species","0.2",1.1,150634.22114843,159558.748282745,167955.968370935
"Jack pine","0.2",1.1,39625.655178483,40434.0360565755,45797.5064267277
"Trembling aspen","0.2",1.1,28873.1260290312,32087.4334802613,34211.158352834
"Black spruce","0.2",1.1,58661.979512455,60322.0904586174,64190.6662042901
"Other species","0.2",1.1,19896.8482272729,21974.6283281954,21469.9160781561
"All species","0.2",1.2,150689.771869559,159465.506950366,167907.06311068
"Jack pine","0.2",1.2,39609.9019583042,40410.426956421,45800.7843154618
"Trembling aspen","0.2",1.2,28945.4149681904,32085.1968238165,34192.1861094798
"Black spruce","0.2",1.2,58661.3896670893,60302.4320778367,64163.2131288106
"Other species","0.2",1.2,19930.3575698564,21986.2054128551,21465.0063732348
"All species","0.2",1.3,150798.962448814,159437.202537003,167875.409911452
"Jack pine","0.2",1.3,39612.111606842,40401.985878256,45804.5060382456
"Trembling aspen","0.2",1.3,29054.440929064,32102.2898976697,34178.0846366596
"Black spruce","0.2",1.3,58673.7306508752,60311.2223214307,64142.8311143014
"Other species","0.2",1.3,19975.7045734212,22007.1096420917,21467.0110998246
"All species","0.2",1.4,150974.434423386,159486.595860788,167862.736793616
"Jack pine","0.2",1.4,39637.5430853657,40413.1912123062,45808.7365828544
"Trembling aspen","0.2",1.4,29205.8922780578,32142.4468095645,34169.5104380049
"Black spruce","0.2",1.4,58702.9620131888,60354.506923702,64130.3889746924
"Other species","0.2",1.4,20034.0496107499,22037.4045751922,21476.5381774015
"All species","0.2",1.5,151227.497775049,159623.932917316,167870.530696431
"Jack pine","0.2",1.5,39690.6661478631,40447.8739159038,45813.5416073633
"Trembling aspen","0.2",1.5,29402.7994248568,32208.2918125885,34167.0356997044
"Black spruce","0.2",1.5,58753.023321298,60437.2307348839,64126.6684812762
"Other species","0.2",1.5,20106.0203639639,22076.7477698681,21494.03206593
"All species","0.2",1.6,151566.441259831,159855.172093923,167899.923406213
"Jack pine","0.2",1.6,39774.3567706789,40508.5684433323,45818.9796843399
"Trembling aspen","0.2",1.6,29644.38793143,32300.6667899692,34171.1013127823
"Black spruce","0.2",1.6,58827.3785336135,60562.3620432911,64132.3105153318
"Other species","0.2",1.6,20191.5702860463,22124.3908364979,21519.7179689159
"All species","0.2",1.7,151995.086859475,160180.701253431,167951.59039197
"Jack pine","0.2",1.7,39889.3009232386,40596.0315999587,45825.0940948566
"Trembling aspen","0.2",1.7,29925.6749987093,32418.2393762246,34181.9729849046
"Black spruce","0.2",1.7,58928.5548112647,60730.2277721485,64147.7648471388
"Other species","0.2",1.7,20289.9206084457,22179.2314056771,21553.5606734063
"All species","0.2",1.8,152511.971106054,160594.93257689,168025.675959081
"Jack pine","0.2",1.8,40033.7956884228,40709.0718661918,45831.9057606505
"Trembling aspen","0.2",1.8,30238.0371698241,32557.5532136696,34199.70656865
"Black spruce","0.2",1.8,59057.7783655666,60938.2684454309,64173.2492910472
"Other species","0.2",1.8,20399.6029911608,22239.9099719938,21595.2464918134
"All species","0.2",1.9,153110.372118196,161086.913357051,168121.755315683
"Jack pine","0.2",1.9,40204.0075924641,40844.7349412991,45839.4085847123
"Trembling aspen","0.2",1.9,30570.5750480968,32713.5245934642,34224.1275430414
"Black spruce","0.2",1.9,59214.7906125829,61181.3043635707,64208.7241802024
"Other species","0.2",1.9,20518.596966751,22304.9333528508,21644.192842157
"All species","0.2",2,153779.151189885,161641.777989195,168238.839633592
"Jack pine","0.2",2,40394.5931038294,40998.7769443627,45847.5678038045
"Trembling aspen","0.2",2,30911.8008887534,32880.2265721657,34254.8281594463
"Black spruce","0.2",2,59397.8791456259,61452.2392672106,64253.8866857224
"Other species","0.2",2,20644.5337567196,22372.8008415478,21699.5849920839
"All species","0.3",0,151015.263985065,161800.792465168,169142.980629568
"Jack pine","0.3",0,39991.3872293959,40831.7913359921,45770.4930115236
"Trembling aspen","0.3",0,28972.362928329,32493.2788704021,34566.0839363375
"Black spruce","0.3",0,58848.9410061327,61062.0604274441,64751.2666362099
"Other species","0.3",0,19887.9624601492,22217.791250717,21775.6835073281
"All species","0.3",0.1,150954.26171289,161570.310120451,169009.347071347
"Jack pine","0.3",0.1,39964.5629069438,40801.2687356242,45770.631269865
"Trembling aspen","0.3",0.1,28946.9903836073,32448.3668420656,34531.7728704763
"Black spruce","0.3",0.1,58829.6936675515,60984.96016668,64691.7969222921
"Other species","0.3",0.1,19876.5700542756,22181.5721570427,21739.6931350388
"All species","0.3",0.2,150890.954998831,161333.470198302,168878.035259728
"Jack pine","0.3",0.2,39935.2555688047,40768.4731338961,45771.0759382252
"Trembling aspen","0.3",0.2,28921.0868508321,32402.4298291079,34497.0410189466
"Black spruce","0.3",0.2,58809.5325927929,60905.8736711216,64633.3738963844
"Other species","0.3",0.2,19865.338697769,22145.5244603099,21703.8542154136
"All species","0.3",0.3,150825.750784808,161091.246292945,168749.639792693
"Jack pine","0.3",0.3,39903.3014986546,40733.2261506462,45771.8177642868
"Trembling aspen","0.3",0.3,28894.9967734522,32355.6117489022,34462.0502267044
"Black spruce","0.3",0.3,58788.4441009009,60825.0583492949,64576.1614024516
"Other species","0.3",0.3,19854.6025896921,22110.1738978534,21668.5034299647
"All species","0.3",0.4,150759.34764423,160845.160747029,168624.888783423
"Jack pine","0.3",0.4,39868.6180740693,40695.4247402365,45772.8487347283
"Trembling aspen","0.3",0.4,28869.2859436771,32308.1884463217,34427.0160138849
"Black spruce","0.3",0.4,58766.4696905184,60742.9461910029,64520.3679187275
"Other species","0.3",0.4,19844.7996935468,22076.186859992,21634.0436896308
"All species","0.3",0.5,150692.868956811,160597.418590584,168504.656670953
"Jack pine","0.3",0.5,39831.2658668163,40655.0988291514,45774.1623061135
"Trembling aspen","0.3",0.5,28844.8415991585,32260.6198721355,34392.2159000937
"Black spruce","0.3",0.5,58743.7423016189,60660.2199541007,64466.2608900177
"Other species","0.3",0.5,19836.493972299,22044.3648694559,21600.94226217
"All species","0.3",0.6,150628.048414166,160351.091495119,168389.974964894
"Jack pine","0.3",0.6,39791.5394850179,40612.4938170046,45775.7541099533
"Trembling aspen","0.3",0.6,28823.0058079812,32213.6178949246,34357.995579475
"Black spruce","0.3",0.6,58720.5387499,60577.923571656,64414.1814732247
"Other species","0.3",0.6,19830.399975079,22015.6286030118,21569.7282550352
"All species","0.3",0.7,150567.478911009,160110.3630906,168282.040488867
"Jack pine","0.3",0.7,39750.0935625719,40568.1814311345,45777.6232575139
"Trembling aspen","0.3",0.7,28805.7443873239,32168.2332476524,34324.7723165094
"Black spruce","0.3",0.7,58697.3521076485,60497.6083665254,64364.5583092351
"Other species","0.3",0.7,19827.4081655691,21990.9923151181,21540.9900790326
"All species","0.3",0.8,150514.926233633,159880.825177649,168182.219486619
"Jack pine","0.3",0.8,39708.104428601,40523.1968416286,45779.7742170626
"Trembling aspen","0.3",0.8,28795.8446501997,32125.9616326033,34293.0350382541
"Black spruce","0.3",0.8,58674.9855673415,60421.5043018855,64317.918228227
"Other species","0.3",0.8,19828.6071859998,21971.5281103477,21515.372585125
"All species","0.3",0.9,150475.684463431,159669.78201882,168092.044485117
"Jack pine","0.3",0.9,39667.4541039769,40479.1893654035,45782.2190639289
"Trembling aspen","0.3",0.9,28797.1155668206,32088.8589779528,34263.3407317447
"Black spruce","0.3",0.9,58654.6637039811,60352.6892177874,64274.8910805312
"Other species","0.3",0.9,19835.2951160579,21958.3190164594,21493.5725095012
"All species","0.3",1,150456.906844147,159486.476781671,168013.199436752
"Jack pine","0.3",1,39630.9001127827,40438.5569237901,45784.9797370959
"Trembling aspen","0.3",1,28814.5289129159,32059.6367191516,34236.3067643224
"Black spruce","0.3",1,58638.1470375628,60295.2113524513,64236.2056543097
"Other species","0.3",1,19848.9662191089,21952.4003925656,21476.3297357708
"All species","0.3",1.1,150467.791496795,159342.104313073,167947.487910174
"Jack pine","0.3",1.1,39602.1666625485,40404.5122514293,45788.0897847749
"Trembling aspen","0.3",1.1,28854.1935541929,32041.6821296555,34212.5983941061
"Black spruce","0.3",1.1,58627.8223129665,60254.1034998439,64202.6743523633
"Other species","0.3",1.1,19871.2557995312,21954.6897017696,21464.4108549702
"All species","0.3",1.2,150519.460860134,159249.441793234,167896.779663891
"Jack pine","0.3",1.2,39585.8730926863,40381.012397891,45791.5949524155
