"Group","importance","importanceLower","importanceUpper","Species_Climate"
"Ontogeny",47.9286074170113,41.6870555663775,56.4491579718933,"Jack pine_ATA"
"Competition",39.3745500861991,33.4969579916962,42.678665992817,"Jack pine_ATA"
"Ontogeny+Competition",7.51722525319343,2.3049545014262,14.8513026810305,"Jack pine_ATA"
"Competition+Climate",4.18975174269161,2.74523287056311,6.31043578180928,"Jack pine_ATA"
"Climate",0.269575904608539,0.098388851843039,1.02643772407972,"Jack pine_ATA"
"Ontogeny+Climate",0.720289596296099,0.428524042080889,1.25168962309961,"Jack pine_ATA"
"Ontogeny",49.9843037029371,42.0857748704748,58.3776441945202,"Jack pine_GSTA"
"Competition",41.3547734175757,35.5415385443214,44.5981033681619,"Jack pine_GSTA"
"Ontogeny+Competition",7.50249484663781,2.42735881951283,13.7920100443171,"Jack pine_GSTA"
"Climate",0.397424930904516,0.0555713626519852,1.53845861972168,"Jack pine_GSTA"
"Competition+Climate",0.600398430609647,0.18599525269727,3.53304995822327,"Jack pine_GSTA"
"Ontogeny+Climate",0.160604671335249,0.0923328004620154,0.911449903112756,"Jack pine_GSTA"
"Ontogeny",47.2394453311688,40.6520648339135,55.6109855987749,"Jack pine_NONGSTA"
"Competition",38.7508105966457,33.644640846213,42.1269074682853,"Jack pine_NONGSTA"
"Ontogeny+Competition",7.28971964634455,2.21479441113153,14.5790844678695,"Jack pine_NONGSTA"
"Competition+Climate",5.33240737776679,3.387062946126,6.85689374261544,"Jack pine_NONGSTA"
"Climate",0.443876976384844,0.171337128462458,1.12492054478474,"Jack pine_NONGSTA"
"Ontogeny+Climate",0.943740071689363,0.453553311456261,1.40479237424352,"Jack pine_NONGSTA"
"Ontogeny",47.8652583857574,40.8746226854937,56.6433646788365,"Jack pine_ACMIA"
"Competition",38.4727485547585,33.6321735308938,42.2223871092785,"Jack pine_ACMIA"
"Ontogeny+Competition",7.12190929687257,2.21170043545472,13.3489565620254,"Jack pine_ACMIA"
"Climate",0.875079411036305,0.382719783574621,1.8126264629226,"Jack pine_ACMIA"
"Competition+Climate",4.5879439192301,1.95611881706859,6.99242622285514,"Jack pine_ACMIA"
"Ontogeny+Climate",1.07706043234517,0.300903034176601,2.29427598264171,"Jack pine_ACMIA"
"Ontogeny",47.2584709912139,41.1179505611771,55.6689182410205,"Jack pine_GSCMIA"
"Competition",37.9588209261095,32.7633321343447,40.8853295664845,"Jack pine_GSCMIA"
"Ontogeny+Climate",3.27247587899327,1.97532002944514,4.94788876954522,"Jack pine_GSCMIA"
"Ontogeny+Competition",6.63818751306132,2.10463773823296,12.8011924984827,"Jack pine_GSCMIA"
"Climate",0.956546683860213,0.369470039048625,2.57570751603492,"Jack pine_GSCMIA"
"Competition+Climate",3.91549800676185,1.95821244590705,5.3715613294484,"Jack pine_GSCMIA"
"Ontogeny",39.7932124885915,32.2666715739342,50.6627979194101,"Jack pine_ACO2A"
"Competition",32.0491448404487,28.2252912919577,36.4255327473287,"Jack pine_ACO2A"
"Ontogeny+Competition",7.94152470146975,4.07213001056739,13.0530336702284,"Jack pine_ACO2A"
"Competition+Climate",16.5399204254702,7.709096347923,20.1383995428617,"Jack pine_ACO2A"
"Ontogeny+Climate",3.67619754401986,1.20935679053954,6.01372988956064,"Jack pine_ACO2A"
"Ontogeny",50.6184406643761,45.253460207365,54.1395485161714,"Trembling aspen_ATA"
"Competition",40.1900873603538,35.7115672295811,43.1368917263765,"Trembling aspen_ATA"
"Ontogeny+Competition",4.98421728538024,2.69835038543111,11.3391422905698,"Trembling aspen_ATA"
"Competition+Climate",4.11576806732574,1.24076908565936,7.25929965770533,"Trembling aspen_ATA"
"Ontogeny+Climate",0.0914866225640514,0.0357482406490063,1.34252957894214,"Trembling aspen_ATA"
"Ontogeny",54.33920339981,49.9932230887919,57.2204223979926,"Trembling aspen_GSTA"
"Competition",42.1177605717735,37.257558160401,45.9922162440949,"Trembling aspen_GSTA"
"Ontogeny+Competition",2.89675057735643,0.790125288985137,8.30621435049262,"Trembling aspen_GSTA"
"Climate",0.156813041465622,0.0287451745994819,0.642980591684819,"Trembling aspen_GSTA"
"Ontogeny+Climate",0.489472409594474,0.0803982412374088,1.29423678091892,"Trembling aspen_GSTA"
"Ontogeny",50.1038501161326,44.5887085090678,53.4903283899509,"Trembling aspen_NONGSTA"
"Competition",39.7627860316843,35.0416782245562,42.8176992670854,"Trembling aspen_NONGSTA"
"Ontogeny+Competition",4.98428247652941,2.6000619691994,10.9967087090443,"Trembling aspen_NONGSTA"
"Competition+Climate",4.54045935788158,1.67947493435096,7.52182271585478,"Trembling aspen_NONGSTA"
"Climate",0.564363951116578,0.0574215060373485,2.30452001902704,"Trembling aspen_NONGSTA"
"Ontogeny+Climate",0.0442580666555175,0.0313052563241648,1.30088414868081,"Trembling aspen_NONGSTA"
"Ontogeny",51.6829852164186,46.9741345978935,54.6764522295153,"Trembling aspen_ACMIA"
"Competition",41.2251715596831,36.5273895246313,43.9895043152965,"Trembling aspen_ACMIA"
"Ontogeny+Climate",2.0317547776811,0.540833142017706,5.49543561633086,"Trembling aspen_ACMIA"
"Ontogeny+Competition",5.05363295347501,2.69593496985412,11.1111248915188,"Trembling aspen_ACMIA"
"Climate",0.00645549274224614,0.0166706750945861,0.867398942823669,"Trembling aspen_ACMIA"
"Ontogeny",50.5007187875142,45.8846084820184,53.6980622430667,"Trembling aspen_GSCMIA"
"Competition",40.2812234114075,35.9399633853461,43.4735380484525,"Trembling aspen_GSCMIA"
"Ontogeny+Climate",4.29883767624441,1.70156284061856,8.17319197237277,"Trembling aspen_GSCMIA"
"Ontogeny+Competition",4.91922012483399,2.64934594093019,11.0456812884574,"Trembling aspen_GSCMIA"
"Ontogeny",55.4485555409968,48.5450136685294,63.1364380760285,"Trembling aspen_ACO2A"
"Ontogeny+Competition",4.11193005554815,2.26907538896904,10.3905362433153,"Trembling aspen_ACO2A"
"Climate",1.15874214033685,0.162491987977815,3.32474581733001,"Trembling aspen_ACO2A"
"Competition",31.04294317448,24.2719309822276,35.2702640875865,"Trembling aspen_ACO2A"
"Competition+Climate",8.23782908863828,3.64732190151943,11.2492821235005,"Trembling aspen_ACO2A"
"Ontogeny",49.7968443231172,44.1548046387143,53.1322633529126,"Black spruce_ATA"
"Competition",45.8286644865826,40.4206169185098,49.5917829634458,"Black spruce_ATA"
"Ontogeny+Competition",3.33554451562701,1.55504035411704,9.05829158804149,"Black spruce_ATA"
"Climate",0.414143481877345,0.0718433258099448,1.11080006050045,"Black spruce_ATA"
"Ontogeny+Climate",0.44132341733512,0.124242887984548,1.8069170965543,"Black spruce_ATA"
