"Species","sizeIndex","disweight","IntraHAIC","InterHAIC"
"TA","Biomass",0.2,24485.1687599688,30051.1390234839
"BS","Biomass",0.2,45317.1113373307,51128.8710893377
"Other","Biomass",0.2,21071.1034868669,20067.2923930687
"All","Biomass",0.3,151244.694449318,160519.44906074
"JP","Biomass",0.3,35583.7037092209,45066.811001749
"TA","Biomass",0.3,24461.0651693895,30051.2054270703
"BS","Biomass",0.3,45198.2546630407,51000.5442524839
"Other","Biomass",0.3,20971.5292505579,20018.1877614316
"All","Biomass",0.4,150513.567040323,160508.682407152
"JP","Biomass",0.4,35470.0348002807,45099.3230244858
"TA","Biomass",0.4,24448.5788195225,30059.5585663446
"BS","Biomass",0.4,45077.8597313112,50931.5686716118
"Other","Biomass",0.4,20879.2999409339,19976.3519853193
"All","Biomass",0.5,149778.437608135,160533.497946311
"JP","Biomass",0.5,35351.5543414314,45148.8946249711
"TA","Biomass",0.5,24451.6953106548,30076.450815141
"BS","Biomass",0.5,44957.7714396669,50923.3988258751
"Other","Biomass",0.5,20797.0749864986,19943.107009665
"All","Biomass",0.6,149050.0789006,160594.330545968
"JP","Biomass",0.6,35230.4295428557,45214.096393778
"TA","Biomass",0.6,24475.6230520932,30102.4769706829
"BS","Biomass",0.6,44841.2353929291,50976.7337243696
"Other","Biomass",0.6,20727.7424945145,19919.7908579916
"All","Biomass",0.7,148342.888228709,160692.139890668
"JP","Biomass",0.7,35110.467329423,45293.3753279221
"TA","Biomass",0.7,24527.0275862327,30138.5218299293
"BS","Biomass",0.7,44733.4222056795,51091.75077285
"Other","Biomass",0.7,20674.3269346915,19907.7589930047
"All","Biomass",0.8,147675.644426364,160828.525911261
"JP","Biomass",0.8,34997.7547875062,45385.202357833
"TA","Biomass",0.8,24614.19332652,30185.6824314038
"BS","Biomass",0.8,44641.9678960841,51268.3075240983
"Other","Biomass",0.8,20639.8790075973,19908.3887554327
"All","Biomass",0.9,147072.135304126,161005.767024808
"JP","Biomass",0.9,34901.2991705678,45488.1931406339
"TA","Biomass",0.9,24746.9683332494,30245.1715491918
"BS","Biomass",0.9,44577.4072659195,51506.0257503669
"Other","Biomass",0.9,20627.3442697617,19923.0766897571
"All","Biomass",1,146561.353461844,161226.746250033
"JP","Biomass",1,34833.463085781,45601.184061876
"TA","Biomass",1,24936.2762477192,30318.2077356686
"BS","Biomass",1,44553.3136313853,51804.1968096895
"Other","Biomass",1,20639.4061461055,19953.2156591499
"All","Biomass",1.1,146176.862495834,161494.744270551
"JP","Biomass",1.1,34809.8709670524,45723.2520811821
"TA","Biomass",1.1,25192.9686028573,30405.8964772405
"BS","Biomass",1.1,44585.9184710781,52161.5048417833
"Other","Biomass",1.1,20678.3009112845,20000.1403334649
"All","Biomass",1.2,145954.931308583,161813.103970967
"JP","Biomass",1.2,34848.4005046427,45853.676879548
"TA","Biomass",1.2,25525.9250310555,30509.1078800977
"BS","Biomass",1.2,44693.0110342647,52575.6360938438
"Other","Biomass",1.2,20745.6087162748,20065.0367589512
"All","Biomass",1.3,145931.218571814,162184.799940142
"JP","Biomass",1.3,34967.007753881,45991.8544592112
"TA","Biomass",1.3,25939.6360537394,30628.358664355
"BS","Biomass",1.3,44892.0505289021,53042.8949570449
"Other","Biomass",1.3,20842.0374824624,20148.8226088032
"All","Biomass",1.4,146136.213066273,162611.968693482
"JP","Biomass",1.4,35180.5550913627,46137.180408575
